Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-05-23,mod_2,41680,647762,Soc. Dist. + Travel Ban,solid,May 23,"41,680","May 23: 41,680 projected cases per day"
2020-05-23,mod_4,9058,23316,Moderate return,solid,May 23,"9,058","May 23: 9,058 projected cases per day"
2020-05-23,mod_5,35567,191641,Normal (pre-intervention),solid,May 23,"35,567","May 23: 35,567 projected cases per day"
2020-05-23,mod_6,2606,5807,Cautious return,solid,May 23,"2,606","May 23: 2,606 projected cases per day"
2020-05-24,mod_2,42921,697728,Soc. Dist. + Travel Ban,solid,May 24,"42,921","May 24: 42,921 projected cases per day"
2020-05-24,mod_4,9996,23785,Moderate return,solid,May 24,"9,996","May 24: 9,996 projected cases per day"
2020-05-24,mod_5,38133,217922,Normal (pre-intervention),solid,May 24,"38,133","May 24: 38,133 projected cases per day"
2020-05-24,mod_6,2887,5680,Cautious return,solid,May 24,"2,887","May 24: 2,887 projected cases per day"
2020-05-25,mod_2,44123,731385,Soc. Dist. + Travel Ban,solid,May 25,"44,123","May 25: 44,123 projected cases per day"
2020-05-25,mod_4,10982,26438,Moderate return,solid,May 25,"10,982","May 25: 10,982 projected cases per day"
2020-05-25,mod_5,40526,291947,Normal (pre-intervention),solid,May 25,"40,526","May 25: 40,526 projected cases per day"
2020-05-25,mod_6,3194,8123,Cautious return,solid,May 25,"3,194","May 25: 3,194 projected cases per day"
2020-05-26,mod_2,45249,752711,Soc. Dist. + Travel Ban,solid,May 26,"45,249","May 26: 45,249 projected cases per day"
2020-05-26,mod_4,11955,34415,Moderate return,solid,May 26,"11,955","May 26: 11,955 projected cases per day"
2020-05-26,mod_5,42722,350322,Normal (pre-intervention),solid,May 26,"42,722","May 26: 42,722 projected cases per day"
2020-05-26,mod_6,3503,7063,Cautious return,solid,May 26,"3,503","May 26: 3,503 projected cases per day"
2020-05-27,mod_2,46377,795626,Soc. Dist. + Travel Ban,solid,May 27,"46,377","May 27: 46,377 projected cases per day"
2020-05-27,mod_4,12923,33883,Moderate return,solid,May 27,"12,923","May 27: 12,923 projected cases per day"
2020-05-27,mod_5,44693,401383,Normal (pre-intervention),solid,May 27,"44,693","May 27: 44,693 projected cases per day"
2020-05-27,mod_6,3837,7300,Cautious return,solid,May 27,"3,837","May 27: 3,837 projected cases per day"
2020-05-28,mod_2,47339,860763,Soc. Dist. + Travel Ban,solid,May 28,"47,339","May 28: 47,339 projected cases per day"
2020-05-28,mod_4,13883,41022,Moderate return,solid,May 28,"13,883","May 28: 13,883 projected cases per day"
2020-05-28,mod_5,46543,509862,Normal (pre-intervention),solid,May 28,"46,543","May 28: 46,543 projected cases per day"
2020-05-28,mod_6,4156,10121,Cautious return,solid,May 28,"4,156","May 28: 4,156 projected cases per day"
2020-05-29,mod_2,48379,882723,Soc. Dist. + Travel Ban,solid,May 29,"48,379","May 29: 48,379 projected cases per day"
2020-05-29,mod_4,14835,48328,Moderate return,solid,May 29,"14,835","May 29: 14,835 projected cases per day"
2020-05-29,mod_5,48166,573170,Normal (pre-intervention),solid,May 29,"48,166","May 29: 48,166 projected cases per day"
2020-05-29,mod_6,4496,8224,Cautious return,solid,May 29,"4,496","May 29: 4,496 projected cases per day"
2020-05-30,mod_2,49170,965563,Soc. Dist. + Travel Ban,solid,May 30,"49,170","May 30: 49,170 projected cases per day"
2020-05-30,mod_4,15765,52792,Moderate return,solid,May 30,"15,765","May 30: 15,765 projected cases per day"
2020-05-30,mod_5,49596,653068,Normal (pre-intervention),solid,May 30,"49,596","May 30: 49,596 projected cases per day"
2020-05-30,mod_6,4835,9767,Cautious return,solid,May 30,"4,835","May 30: 4,835 projected cases per day"
2020-05-31,mod_2,50082,913059,Soc. Dist. + Travel Ban,solid,May 31,"50,082","May 31: 50,082 projected cases per day"
2020-05-31,mod_4,16674,56368,Moderate return,solid,May 31,"16,674","May 31: 16,674 projected cases per day"
2020-05-31,mod_5,50891,745079,Normal (pre-intervention),solid,May 31,"50,891","May 31: 50,891 projected cases per day"
2020-05-31,mod_6,5168,10557,Cautious return,solid,May 31,"5,168","May 31: 5,168 projected cases per day"
2020-06-01,mod_2,50794,997190,Soc. Dist. + Travel Ban,solid,Jun 01,"50,794","Jun 01: 50,794 projected cases per day"
2020-06-01,mod_4,17526,67247,Moderate return,solid,Jun 01,"17,526","Jun 01: 17,526 projected cases per day"
2020-06-01,mod_5,51977,882430,Normal (pre-intervention),solid,Jun 01,"51,977","Jun 01: 51,977 projected cases per day"
2020-06-01,mod_6,5497,11576,Cautious return,solid,Jun 01,"5,497","Jun 01: 5,497 projected cases per day"
2020-06-02,mod_2,51518,1015241,Soc. Dist. + Travel Ban,solid,Jun 02,"51,518","Jun 02: 51,518 projected cases per day"
