State,Date,Cases,Recovered,Deaths,Active,source
Himachal Pradesh,21/03/2020,2,0,0,2,covid19india
Jammu and Kashmir,21/03/2020,4,0,0,4,covid19india
Jharkhand,21/03/2020,0,0,0,0,covid19india
Karnataka,21/03/2020,20,1,1,18,covid19india
Kerala,21/03/2020,52,3,0,49,covid19india
Ladakh,21/03/2020,13,0,0,13,covid19india
Lakshadweep,21/03/2020,0,0,0,0,covid19india
Madhya Pradesh,21/03/2020,4,0,0,4,covid19india
Maharashtra,21/03/2020,64,0,1,63,covid19india
Manipur,21/03/2020,0,0,0,0,covid19india
Meghalaya,21/03/2020,0,0,0,0,covid19india
Mizoram,21/03/2020,0,0,0,0,covid19india
Nagaland,21/03/2020,0,0,0,0,covid19india
Odisha,21/03/2020,2,0,0,2,covid19india
Pondicherry,21/03/2020,1,0,0,1,covid19india
Punjab,21/03/2020,13,0,1,12,covid19india
Rajasthan,21/03/2020,24,3,0,21,covid19india
Sikkim,21/03/2020,0,0,0,0,covid19india
Tamil Nadu,21/03/2020,6,1,0,5,covid19india
Telangana,21/03/2020,21,1,0,20,covid19india
Tripura,21/03/2020,0,0,0,0,covid19india
Uttar Pradesh,21/03/2020,28,9,0,19,covid19india
Uttarakhand,21/03/2020,3,0,0,3,covid19india
West Bengal,21/03/2020,4,0,0,4,covid19india
Andaman and Nicobar Islands,22/03/2020,0,0,0,0,covid19india
Andhra Pradesh,22/03/2020,6,0,0,6,covid19india
Arunachal Pradesh,22/03/2020,0,0,0,0,covid19india
Assam,22/03/2020,0,0,0,0,covid19india
Bihar,22/03/2020,2,0,1,1,covid19india
Chandigarh,22/03/2020,6,0,0,6,covid19india
Chhattisgarh,22/03/2020,1,0,0,1,covid19india
Dadra and Nagar Haveli and Daman and Diu,22/03/2020,0,0,0,0,covid19india
Delhi,22/03/2020,27,5,1,21,covid19india
Goa,22/03/2020,0,0,0,0,covid19india
Gujarat,22/03/2020,18,0,1,17,covid19india
Haryana,22/03/2020,21,0,0,21,covid19india
Himachal Pradesh,22/03/2020,2,0,0,2,covid19india
Jammu and Kashmir,22/03/2020,4,0,0,4,covid19india
Jharkhand,22/03/2020,0,0,0,0,covid19india
Karnataka,22/03/2020,26,1,1,24,covid19india
Kerala,22/03/2020,67,3,0,64,covid19india
Ladakh,22/03/2020,13,0,0,13,covid19india
Lakshadweep,22/03/2020,0,0,0,0,covid19india
Madhya Pradesh,22/03/2020,6,0,0,6,covid19india
Maharashtra,22/03/2020,74,0,2,72,covid19india
Manipur,22/03/2020,0,0,0,0,covid19india
Meghalaya,22/03/2020,0,0,0,0,covid19india
Mizoram,22/03/2020,0,0,0,0,covid19india
Nagaland,22/03/2020,0,0,0,0,covid19india
Odisha,22/03/2020,2,0,0,2,covid19india
Pondicherry,22/03/2020,1,0,0,1,covid19india
Punjab,22/03/2020,21,0,1,20,covid19india
Rajasthan,22/03/2020,28,3,0,25,covid19india
Sikkim,22/03/2020,0,0,0,0,covid19india
Tamil Nadu,22/03/2020,9,1,0,8,covid19india
Telangana,22/03/2020,27,1,0,26,covid19india
Tripura,22/03/2020,0,0,0,0,covid19india
Uttar Pradesh,22/03/2020,30,9,0,21,covid19india
Uttarakhand,22/03/2020,3,0,0,3,covid19india
West Bengal,22/03/2020,7,0,0,7,covid19india
Andaman and Nicobar Islands,23/03/2020,0,0,0,0,covid19india
Andhra Pradesh,23/03/2020,7,0,0,7,covid19india
Arunachal Pradesh,23/03/2020,0,0,0,0,covid19india
Assam,23/03/2020,0,0,0,0,covid19india
Bihar,23/03/2020,3,0,1,2,covid19india
Chandigarh,23/03/2020,7,0,0,7,covid19india
Chhattisgarh,23/03/2020,1,0,0,1,covid19india
Dadra and Nagar Haveli and Daman and Diu,23/03/2020,0,0,0,0,covid19india
Delhi,23/03/2020,30,5,1,24,covid19india
Goa,23/03/2020,0,0,0,0,covid19india
Gujarat,23/03/2020,30,0,1,29,covid19india
Haryana,23/03/2020,28,11,0,17,covid19india
Himachal Pradesh,23/03/2020,3,0,1,2,covid19india
Jammu and Kashmir,23/03/2020,4,0,0,4,covid19india
Jharkhand,23/03/2020,0,0,0,0,covid19india
Karnataka,23/03/2020,33,2,1,30,covid19india
Kerala,23/03/2020,95,3,0,92,covid19india
Ladakh,23/03/2020,13,0,0,13,covid19india
Lakshadweep,23/03/2020,0,0,0,0,covid19india
Madhya Pradesh,23/03/2020,6,0,0,6,covid19india
Maharashtra,23/03/2020,97,0,2,95,covid19india
Manipur,23/03/2020,0,0,0,0,covid19india
Meghalaya,23/03/2020,0,0,0,0,covid19india
Mizoram,23/03/2020,0,0,0,0,covid19india
Nagaland,23/03/2020,0,0,0,0,covid19india
Odisha,23/03/2020,2,0,0,2,covid19india
Pondicherry,23/03/2020,1,0,0,1,covid19india
Punjab,23/03/2020,23,0,1,22,covid19india
Rajasthan,23/03/2020,32,3,0,29,covid19india
Sikkim,23/03/2020,0,0,0,0,covid19india
Tamil Nadu,23/03/2020,12,1,0,11,covid19india
Telangana,23/03/2020,33,1,0,32,covid19india
Tripura,23/03/2020,0,0,0,0,covid19india
Uttar Pradesh,23/03/2020,32,9,0,23,covid19india
Uttarakhand,23/03/2020,4,0,0,4,covid19india
West Bengal,23/03/2020,7,0,1,6,covid19india
Andaman and Nicobar Islands,24/03/2020,0,0,0,0,covid19india
Andhra Pradesh,24/03/2020,8,0,0,8,covid19india
Arunachal Pradesh,24/03/2020,0,0,0,0,covid19india
Assam,24/03/2020,0,0,0,0,covid19india
Bihar,24/03/2020,3,0,1,2,covid19india
Chandigarh,24/03/2020,7,0,0,7,covid19india
Chhattisgarh,24/03/2020,1,0,0,1,covid19india
Dadra and Nagar Haveli and Daman and Diu,24/03/2020,0,0,0,0,covid19india
Delhi,24/03/2020,30,6,1,23,covid19india
