place,date,daily_cases,daily_recovered,daily_deaths,total_cases,total_recovered,total_deaths
India,2020-11-09,37119,41449,450,8590321,7956932,127108
India,2020-11-10,44724,54639,511,8635045,8011571,127619
India,2020-11-11,48285,52704,550,8683330,8064275,128169
India,2020-11-12,44585,49354,544,8727915,8113629,128713
India,2020-11-13,44620,47620,517,8772535,8161249,129230
India,2020-11-14,41692,42317,450,8814227,8203566,129680
India,2020-11-15,30681,44111,434,8844908,8247677,130114
India,2020-11-16,28609,40392,451,8873517,8288069,130565
India,2020-11-17,38548,44753,472,8912065,8332822,131037
India,2020-11-18,45366,48675,586,8957431,8381497,131623
India,2020-11-19,46185,45246,582,9003616,8426743,132205
India,2020-11-20,46283,48968,564,9049899,8475711,132769
India,2020-11-21,45301,44055,499,9095200,8519766,133268
India,2020-11-22,44404,41405,510,9139604,8561171,133778
India,2020-11-23,37441,42195,481,9177045,8603366,134259
India,2020-11-24,44245,37765,489,9221290,8641131,134748
India,2020-11-25,44699,36582,518,9265989,8677713,135266
India,2020-11-26,43174,39723,491,9309163,8717436,135757
India,2020-11-27,41353,41177,486,9350516,8758613,136243
India,2020-11-28,41815,42275,495,9392331,8800888,136738
India,2020-11-29,39036,45152,444,9431367,8846040,137182
India,2020-11-30,31179,42282,482,9462546,8888322,137664
India,2020-12-01,36474,43208,501,9499020,8931530,138165
India,2020-12-02,35506,40908,526,9534526,8972438,138691
India,2020-12-03,36574,42991,541,9571100,9015429,139232
India,2020-12-04,36711,42359,511,9607811,9057788,139743
India,2020-12-05,36010,41885,482,9643821,9099673,140225
India,2020-12-06,33178,39078,390,9676999,9138751,140615
India,2020-12-07,26227,39293,386,9703226,9178044,141001
India,2020-12-08,32083,36583,402,9735309,9214627,141403
India,2020-12-09,31637,37693,413,9766946,9252320,141816
India,2020-12-10,29411,37707,411,9796357,9290027,142227
India,2020-12-11,29961,33492,442,9826318,9323519,142669
India,2020-12-12,30354,33087,391,9856672,9356606,143060
India,2020-12-13,27336,30640,338,9884008,9387246,143398
India,2020-12-14,21941,34421,354,9905949,9421667,143752
India,2020-12-15,26251,33853,384,9932200,9455520,144136
India,2020-12-16,26251,33853,384,8069479,7718983,96059
India,2020-12-17,26251,33853,384,9983040,9515884,144739
India,2020-12-18,26991,29879,342,10010031,9545763,145081
India,2020-12-19,26834,29758,342,10036865,9575521,145423
India,2020-12-20,24622,25734,332,10061487,9601255,145755
India,2020-12-21,19147,30250,302,10080634,9631505,146057
India,2020-12-22,23880,27032,329,10104514,9658537,146386
India,2020-12-23,24716,29946,315,10129230,9688483,146701
India,2020-12-24,23444,24555,337,10152674,9713038,147038
India,2020-12-25,22349,22184,251,10175023,9735222,147289
India,2020-12-26,18575,21466,280,10193598,9756688,147569
India,2020-12-27,20333,21097,281,10213931,9777785,147850
India,2020-12-28,16072,24822,250,10230003,9802607,148100
India,2020-12-29,20542,26589,285,10250545,9829196,148385
India,2020-12-30,21945,26407,299,10272490,9855603,148684
India,2020-12-31,19026,21969,244,10291516,9877572,148928
India,2021-01-01,20159,23838,237,10311675,9901410,149165
India,2021-01-02,18144,20903,216,10329819,9922313,149381
India,2021-01-03,16678,19658,215,10346497,9941971,149596
India,2021-01-04,16278,29209,200,10362775,9971180,149796
India,2021-01-05,17909,21161,265,10380684,9992341,150061
India,2021-01-06,20472,19689,222,10401156,10012030,150283
India,2021-01-07,18123,20503,233,10419279,10032533,150516
India,2021-01-08,18453,19242,229,10437732,10051775,150745
India,2021-01-09,18820,19460,213,10456552,10071235,150958
India,2021-01-10,16086,16737,150,10472638,10087972,151108
India,2021-01-11,12481,18578,166,10485119,10106550,151274
India,2021-01-12,15903,17762,200,10501022,10124312,151474
India,2021-01-13,17015,17797,201,10518037,10142109,151675
India,2021-01-14,15677,15943,189,10533714,10158052,151864
India,2021-01-15,15155,16809,176,10548869,10174861,152040
India,2021-01-16,15050,17202,181,10563919,10192063,152221
India,2021-01-17,13962,14513,145,10577881,10206576,152366
India,2021-01-18,9987,17127,137,10587868,10223703,152503
India,2021-01-19,13787,17229,162,10601655,10240932,152665
India,2021-01-20,15279,20071,152,10616934,10261003,152817
India,2021-01-21,14495,17734,161,10631429,10278737,152978
India,2021-01-22,14323,17166,153,10645752,10295903,153131
India,2021-01-23,14896,16033,156,10660648,10311936,153287
India,2021-01-24,13232,13148,131,10673880,10325084,153418
India,2021-01-25,9098,16092,116,10682978,10341176,153534
India,2021-01-26,12733,13250,138,10695711,10354426,153672
India,2021-01-27,11556,14261,123,10707267,10368687,153795
India,2021-01-28,18912,20315,162,10726179,10389002,153957
India,2021-01-29,13054,14886,137,10739233,10403888,154094
India,2021-01-30,13073,14077,128,10752306,10417965,154222
India,2021-01-31,11527,11882,116,10763833,10429847,154338
India,2021-02-01,8579,13443,94,10772412,10443290,154432
India,2021-02-02,11001,14250,113,10783413,10457540,154545
India,2021-02-03,12925,17813,107,10796338,10475353,154652
India,2021-02-04,12401,15788,120,10808739,10491141,154772
India,2021-02-05,11711,14512,95,10820450,10505653,154867
India,2021-02-06,12069,11761,75,10832519,10517414,154942
India,2021-02-07,11786,11756,86,10844305,10529170,155028
India,2021-02-08,8715,13600,78,10853020,10542770,155106
India,2021-02-09,10731,12928,94,10863751,10555698,155200
India,2021-02-10,12539,11796,110,10876290,10567494,155310
India,2021-02-11,9353,15722,85,10885643,10583216,155395
India,2021-02-12,12137,11358,104,10897780,10594574,155499
India,2021-02-13,12198,11107,89,10909978,10605681,155588
India,2021-02-14,11706,9500,91,10921684,10615181,155679
India,2021-02-15,9086,11793,82,10930770,10626974,155761
India,2021-02-16,11592,11836,99,10942362,10638810,155860
India,2021-02-17,12862,12028,100,10955224,10650838,155960
India,2021-02-18,13237,10914,100,10968461,10661752,156060
India,2021-02-19,13916,10214,100,10982377,10671966,156160
India,2021-02-20,13916,10214,100,10899639,10590237,154563
India,2021-02-21,13916,10214,100,11010948,10693359,156332
India,2021-02-22,10494,13233,76,11021442,10706592,156408
India,2021-02-23,13682,13969,103,11035124,10720561,156511
India,2021-02-24,16930,12100,141,11052054,10732661,156652
India,2021-02-25,16599,12222,119,11068653,10744883,156771
India,2021-02-26,16562,12790,114,11085215,10757673,156885
India,2021-02-27,16805,11709,111,11102020,10769382,156996
India,2021-02-28,15614,11291,108,11117634,10780673,157104
India,2021-03-01,12270,12472,92,11129904,10793145,157196
India,2021-03-02,14998,13113,98,11144902,10806258,157294
India,2021-03-03,17425,14071,87,11162327,10820329,157381
India,2021-03-04,16824,13788,113,11179151,10834117,157494
India,2021-03-05,18324,14186,109,11197475,10848303,157603
India,2021-03-06,18724,14379,100,11216199,10862682,157703
India,2021-03-07,18650,14303,97,11234849,10876985,157800
India,2021-03-08,15353,16606,76,11250202,10893591,157876
India,2021-03-09,17873,20643,133,11268075,10914234,158009
India,2021-03-10,22851,18154,125,11290926,10932388,158134
India,2021-03-11,23298,15092,119,11314224,10947480,158253
India,2021-03-12,24845,19972,140,11339069,10967452,158393
India,2021-03-13,25154,16508,159,11364223,10983960,158552
India,2021-03-14,26513,17590,120,11390736,11001550,158672
India,2021-03-15,24437,20186,130,11415173,11021736,158802
India,2021-03-16,28869,17746,187,11444042,11039482,158989
India,2021-03-17,35838,17793,171,11479880,11057275,159160
India,2021-03-18,39687,20356,156,11519567,11077631,159316
India,2021-03-19,40906,23623,188,11560473,11101254,159504
India,2021-03-20,43815,22971,196,11604288,11124225,159700
India,2021-03-21,47009,21205,213,11651297,11145430,159913
India,2021-03-22,40636,29779,197,11691933,11175209,160110
India,2021-03-23,47239,23913,277,11739172,11199122,160387
India,2021-03-24,53419,26575,249,11792591,11225697,160636
India,2021-03-25,59083,32917,257,11851674,11258614,160893
India,2021-03-26,62276,30341,292,11913950,11288955,161185
India,2021-03-27,62632,28728,311,11976582,11317683,161496
India,2021-03-28,68206,32269,295,12044788,11349952,161791
India,2021-03-29,56152,36989,266,12100940,11386941,162057
India,2021-03-30,53237,41242,355,12154177,11428183,162412
India,2021-03-31,72113,40423,458,12226290,11468606,162870
India,2021-04-01,81398,50384,468,12307688,11518990,163338
India,2021-04-02,89023,44179,713,12396711,11563169,164051
India,2021-04-03,92994,60059,514,12489705,11623228,164565
India,2021-04-04,103794,52840,477,12593499,11676068,165042
India,2021-04-05,96563,50100,446,12690062,11726168,165488
India,2021-04-06,115312,59714,630,12805374,11785882,166118
India,2021-04-07,126276,59137,684,12931650,11845019,166802
India,2021-04-08,131878,61829,802,13063528,11906848,167604
India,2021-04-09,144945,77263,773,13208473,11984111,168377
India,2021-04-10,152565,90328,838,13361038,12074439,169215
India,2021-04-11,169914,75380,904,13530952,12149819,170119
India,2021-04-12,160838,96746,880,13691790,12246565,170999
India,2021-04-13,185297,82271,1026,13877087,12328836,172025
India,2021-04-14,199584,93425,1038,14076671,12422261,173063
India,2021-04-15,216828,117897,1184,14293499,12540158,174247
India,2021-04-16,234002,122886,1338,14527501,12663044,175585
India,2021-04-17,260895,138209,1498,14788396,12801253,177083
India,2021-04-18,275063,143839,1620,15063459,12945092,178703
India,2021-04-19,257003,154357,1757,15320462,13099449,180460
India,2021-04-20,294365,166656,2021,15614827,13266105,182481
India,2021-04-21,315752,179434,2101,15930579,13445539,184582
India,2021-04-22,332531,192317,2257,16263110,13637856,186839
India,2021-04-23,345296,220545,2620,16608406,13858401,189459
India,2021-04-24,348996,215809,2761,16957402,14074210,192220
India,2021-04-25,354658,218626,2808,17312060,14292836,195028
India,2021-04-26,319471,249009,2762,17631531,14541845,197790
India,2021-04-27,362913,262349,3286,17994444,14804194,201076
India,2021-04-28,379404,274171,3646,18373848,15078365,204722
India,2021-04-29,386773,291727,3502,18760621,15370092,208224
India,2021-04-30,402014,299198,3525,19162635,15669290,211749
India,2021-05-01,392576,308688,3685,19555211,15977978,215434
India,2021-05-02,370090,300004,3423,19925301,16277982,218857
India,2021-05-03,355769,318910,3439,20281070,16596892,222296
India,2021-05-04,382847,337699,3786,20663917,16934591,226082
India,2021-05-05,412624,330718,3979,21076541,17265309,230061
India,2021-05-06,414280,328349,3923,21490821,17593658,233984
India,2021-05-07,406901,327675,4233,21897722,17921333,238217
India,2021-05-08,403808,386395,4092,22301530,18307728,242309
India,2021-05-09,366455,353777,3749,22667985,18661505,246058
India,2021-05-10,329491,355930,3879,22997476,19017435,249937
India,2021-05-11,348555,355398,4198,23346031,19372833,254135
India,2021-05-12,362632,352005,4128,23708663,19724838,258263
India,2021-05-13,343005,344676,4000,24051668,20069514,262263
India,2021-05-14,326256,353200,3889,24377924,20422714,266152
India,2021-05-15,310757,362547,4077,24688681,20785261,270229
India,2021-05-16,281837,378526,4098,24970518,21163787,274327
India,2021-05-17,263021,422391,4334,25233539,21586178,278661
India,2021-05-18,267246,389758,4529,25500785,21975936,283190
India,2021-05-19,276187,369005,3877,25776972,22344941,287067
India,2021-05-20,259242,357173,4209,26036214,22702114,291276
India,2021-05-21,257299,357625,4194,26293513,23059739,295470
India,2021-05-22,240897,355138,3739,26534410,23414877,299209
India,2021-05-23,222834,302253,4454,26757244,23717130,303663
India,2021-05-24,195857,326737,3509,26953101,24043867,307172
India,2021-05-25,208992,295264,4160,27162093,24339131,311332
India,2021-05-26,211510,283054,3843,27373603,24622185,315175
