Dates,variable,value,color
2020-04-25,mod_4_up,30028,blue
2020-04-26,mod_3,383831,red
2020-04-26,mod_3_up,3788962,red
2020-04-26,mod_2,57592,green
2020-04-26,mod_2_up,305395,green
2020-04-26,mod_4,3831,blue
2020-04-26,mod_4_up,31359,blue
2020-04-27,mod_3,444357,red
2020-04-27,mod_3_up,4732318,red
2020-04-27,mod_2,68331,green
2020-04-27,mod_2_up,366000,green
2020-04-27,mod_4,4003,blue
2020-04-27,mod_4_up,32832,blue
2020-04-28,mod_3,509433,red
2020-04-28,mod_3_up,5773103,red
2020-04-28,mod_2,80484,green
2020-04-28,mod_2_up,437252,green
2020-04-28,mod_4,4195,blue
2020-04-28,mod_4_up,34089,blue
2020-04-29,mod_3,578796,red
2020-04-29,mod_3_up,6893132,red
2020-04-29,mod_2,94106,green
2020-04-29,mod_2_up,519953,green
2020-04-29,mod_4,4415,blue
2020-04-29,mod_4_up,35563,blue
2020-04-30,mod_3,652185,red
2020-04-30,mod_3_up,8104558,red
2020-04-30,mod_2,109222,green
2020-04-30,mod_2_up,627024,green
2020-04-30,mod_4,4668,blue
2020-04-30,mod_4_up,37496,blue
2020-05-01,mod_3,729388,red
2020-05-01,mod_3_up,9435597,red
2020-05-01,mod_2,125877,green
2020-05-01,mod_2_up,749104,green
2020-05-01,mod_4,4975,blue
2020-05-01,mod_4_up,39220,blue
2020-05-02,mod_3,810120,red
2020-05-02,mod_3_up,10778251,red
2020-05-02,mod_2,144081,green
2020-05-02,mod_2_up,893575,green
2020-05-02,mod_4,5334,blue
2020-05-02,mod_4_up,40877,blue
2020-05-03,mod_3,894092,red
2020-05-03,mod_3_up,12170430,red
2020-05-03,mod_2,163821,green
2020-05-03,mod_2_up,1072530,green
2020-05-03,mod_4,5769,blue
2020-05-03,mod_4_up,43586,blue
2020-05-04,mod_3,981001,red
2020-05-04,mod_3_up,13559217,red
2020-05-04,mod_2,185110,green
2020-05-04,mod_2_up,1278871,green
2020-05-04,mod_4,6297,blue
2020-05-04,mod_4_up,46070,blue
2020-05-05,mod_3,1070565,red
2020-05-05,mod_3_up,14986488,red
2020-05-05,mod_2,207948,green
2020-05-05,mod_2_up,1510282,green
2020-05-05,mod_4,6943,blue
2020-05-05,mod_4_up,48884,blue
2020-05-06,mod_3,1162407,red
2020-05-06,mod_3_up,16294968,red
2020-05-06,mod_2,232276,green
2020-05-06,mod_2_up,1795725,green
2020-05-06,mod_4,7737,blue
2020-05-06,mod_4_up,52092,blue
2020-05-07,mod_3,1256305,red
2020-05-07,mod_3_up,17594141,red
2020-05-07,mod_2,258052,green
