Dates,variable,value,color,type
2020-07-01,mod_2,2244654,Soc. Dist. + Travel Ban,solid
2020-07-01,mod_4,1090075,Moderate return,solid
2020-07-01,mod_5,2210494,Normal (pre-intervention),solid
2020-07-01,mod_6,502953,Cautious return,solid
2020-07-02,mod_2,2276929,Soc. Dist. + Travel Ban,solid
2020-07-02,mod_4,1118750,Moderate return,solid
2020-07-02,mod_5,2250349,Normal (pre-intervention),solid
2020-07-02,mod_6,518380,Cautious return,solid
2020-07-03,mod_2,2308852,Soc. Dist. + Travel Ban,solid
2020-07-03,mod_4,1147216,Moderate return,solid
2020-07-03,mod_5,2289267,Normal (pre-intervention),solid
2020-07-03,mod_6,533857,Cautious return,solid
2020-07-04,mod_2,2340345,Soc. Dist. + Travel Ban,solid
2020-07-04,mod_4,1175362,Moderate return,solid
2020-07-04,mod_5,2327262,Normal (pre-intervention),solid
2020-07-04,mod_6,549379,Cautious return,solid
2020-07-05,mod_2,2371416,Soc. Dist. + Travel Ban,solid
2020-07-05,mod_4,1203211,Moderate return,solid
2020-07-05,mod_5,2364406,Normal (pre-intervention),solid
2020-07-05,mod_6,564910,Cautious return,solid
2020-07-06,mod_2,2402050,Soc. Dist. + Travel Ban,solid
2020-07-06,mod_4,1230820,Moderate return,solid
2020-07-06,mod_5,2400635,Normal (pre-intervention),solid
2020-07-06,mod_6,580447,Cautious return,solid
2020-07-07,mod_2,2432344,Soc. Dist. + Travel Ban,solid
2020-07-07,mod_4,1258113,Moderate return,solid
2020-07-07,mod_5,2436024,Normal (pre-intervention),solid
2020-07-07,mod_6,595981,Cautious return,solid
2020-07-08,mod_2,2462184,Soc. Dist. + Travel Ban,solid
2020-07-08,mod_4,1285080,Moderate return,solid
2020-07-08,mod_5,2470558,Normal (pre-intervention),solid
2020-07-08,mod_6,611538,Cautious return,solid
2020-07-09,mod_2,2491578,Soc. Dist. + Travel Ban,solid
2020-07-09,mod_4,1311733,Moderate return,solid
2020-07-09,mod_5,2504267,Normal (pre-intervention),solid
2020-07-09,mod_6,627084,Cautious return,solid
2020-07-10,mod_2,2520617,Soc. Dist. + Travel Ban,solid
2020-07-10,mod_4,1338065,Moderate return,solid
