Country	Date	Case	Recovered	Death	Day
US	Mar 23	43847	178	557	21
France	Mar 24	22622	3250	1102	25
Germany	Mar 24	32986	3243	157	24
India	Mar 24	536	40	10	11
Iran	Mar 24	24811	8913	1934	28
US	Mar 24	53740	348	706	22
France	Mar 25	25600	3907	1333	26
Germany	Mar 25	37323	3547	206	25
India	Mar 25	657	43	12	12
Iran	Mar 25	27017	9625	2077	29
US	Mar 25	65778	361	942	23
France	Mar 26	29551	4955	1698	27
Germany	Mar 26	43938	5673	267	26
India	Mar 26	727	45	20	13
Iran	Mar 26	29406	10457	2234	30
US	Mar 26	83836	681	1209	24
France	Mar 27	33402	5707	1997	28
Germany	Mar 27	50871	6658	342	27
India	Mar 27	887	73	20	14
US	Mar 27	101657	869	1581	25
France	Mar 28	38105	5724	2317	29
Germany	Mar 28	57695	8481	433	28
India	Mar 28	987	84	24	15
US	Mar 28	121478	1072	2026	26
France	Mar 29	40708	7226	2611	30
Germany	Mar 29	62095	9211	533	29
India	Mar 29	1024	95	27	16
US	Mar 29	140886	2665	2467	27
Germany	Mar 30	66885	13500	645	30
India	Mar 30	1251	102	32	17
US	Mar 30	161807	5644	2978	28
