Country,Date,Case,Recovered,Death,Day,num.fmt,text
Italy,Mar 16,27980,2749,2158,23,"27,980","Mar 16: 27,980 cumulative cases"
South Korea,Mar 16,8236,1137,75,26,"8,236","Mar 16: 8,236 cumulative cases"
US,Mar 16,4632,17,85,14,"4,632","Mar 16: 4,632 cumulative cases"
France,Mar 17,7715,12,149,18,"7,715","Mar 17: 7,715 cumulative cases"
Germany,Mar 17,9257,67,24,17,"9,257","Mar 17: 9,257 cumulative cases"
India,Mar 17,142,14,3,4,142,Mar 17: 142 cumulative cases
Iran,Mar 17,16169,5389,988,21,"16,169","Mar 17: 16,169 cumulative cases"
Italy,Mar 17,31506,2941,2503,24,"31,506","Mar 17: 31,506 cumulative cases"
South Korea,Mar 17,8320,1407,81,27,"8,320","Mar 17: 8,320 cumulative cases"
US,Mar 17,6421,17,108,15,"6,421","Mar 17: 6,421 cumulative cases"
France,Mar 18,9124,12,149,19,"9,124","Mar 18: 9,124 cumulative cases"
Germany,Mar 18,12327,105,28,18,"12,327","Mar 18: 12,327 cumulative cases"
India,Mar 18,156,14,3,5,156,Mar 18: 156 cumulative cases
Iran,Mar 18,17361,5389,1135,22,"17,361","Mar 18: 17,361 cumulative cases"
Italy,Mar 18,35713,4025,2978,25,"35,713","Mar 18: 35,713 cumulative cases"
South Korea,Mar 18,8413,1540,84,28,"8,413","Mar 18: 8,413 cumulative cases"
US,Mar 18,7783,105,118,16,"7,783","Mar 18: 7,783 cumulative cases"
France,Mar 19,10970,12,244,20,"10,970","Mar 19: 10,970 cumulative cases"
Germany,Mar 19,15320,113,44,19,"15,320","Mar 19: 15,320 cumulative cases"
India,Mar 19,194,15,4,6,194,Mar 19: 194 cumulative cases
Iran,Mar 19,18407,5710,1284,23,"18,407","Mar 19: 18,407 cumulative cases"
Italy,Mar 19,41035,4440,3405,26,"41,035","Mar 19: 41,035 cumulative cases"
South Korea,Mar 19,8565,1540,91,29,"8,565","Mar 19: 8,565 cumulative cases"
US,Mar 19,13677,121,200,17,"13,677","Mar 19: 13,677 cumulative cases"
France,Mar 20,12758,12,451,21,"12,758","Mar 20: 12,758 cumulative cases"
Germany,Mar 20,19848,180,67,20,"19,848","Mar 20: 19,848 cumulative cases"
India,Mar 20,244,20,5,7,244,Mar 20: 244 cumulative cases
Iran,Mar 20,19644,6745,1433,24,"19,644","Mar 20: 19,644 cumulative cases"
Italy,Mar 20,47021,4440,4032,27,"47,021","Mar 20: 47,021 cumulative cases"
South Korea,Mar 20,8652,1540,94,30,"8,652","Mar 20: 8,652 cumulative cases"
US,Mar 20,19100,147,244,18,"19,100","Mar 20: 19,100 cumulative cases"
France,Mar 21,14463,12,563,22,"14,463","Mar 21: 14,463 cumulative cases"
Germany,Mar 21,22213,233,84,21,"22,213","Mar 21: 22,213 cumulative cases"
India,Mar 21,330,23,4,8,330,Mar 21: 330 cumulative cases
Iran,Mar 21,20610,7635,1556,25,"20,610","Mar 21: 20,610 cumulative cases"
Italy,Mar 21,53578,6072,4825,28,"53,578","Mar 21: 53,578 cumulative cases"
US,Mar 21,25489,176,307,19,"25,489","Mar 21: 25,489 cumulative cases"
France,Mar 22,16243,2206,676,23,"16,243","Mar 22: 16,243 cumulative cases"
Germany,Mar 22,24873,266,94,22,"24,873","Mar 22: 24,873 cumulative cases"
India,Mar 22,396,27,7,9,396,Mar 22: 396 cumulative cases
Iran,Mar 22,21638,7931,1685,26,"21,638","Mar 22: 21,638 cumulative cases"
Italy,Mar 22,59138,7024,5476,29,"59,138","Mar 22: 59,138 cumulative cases"
US,Mar 22,33276,178,417,20,"33,276","Mar 22: 33,276 cumulative cases"
France,Mar 23,20123,2206,862,24,"20,123","Mar 23: 20,123 cumulative cases"
Germany,Mar 23,29056,266,123,23,"29,056","Mar 23: 29,056 cumulative cases"
India,Mar 23,499,27,10,10,499,Mar 23: 499 cumulative cases
Iran,Mar 23,23049,7931,1812,27,"23,049","Mar 23: 23,049 cumulative cases"
Italy,Mar 23,63927,7024,6077,30,"63,927","Mar 23: 63,927 cumulative cases"
US,Mar 23,43847,178,557,21,"43,847","Mar 23: 43,847 cumulative cases"
France,Mar 24,22622,3250,1102,25,"22,622","Mar 24: 22,622 cumulative cases"
Germany,Mar 24,32986,3243,157,24,"32,986","Mar 24: 32,986 cumulative cases"
India,Mar 24,536,40,10,11,536,Mar 24: 536 cumulative cases
Iran,Mar 24,24811,8913,1934,28,"24,811","Mar 24: 24,811 cumulative cases"
US,Mar 24,53740,348,706,22,"53,740","Mar 24: 53,740 cumulative cases"
France,Mar 25,25600,3907,1333,26,"25,600","Mar 25: 25,600 cumulative cases"
Germany,Mar 25,37323,3547,206,25,"37,323","Mar 25: 37,323 cumulative cases"
India,Mar 25,657,43,12,12,657,Mar 25: 657 cumulative cases
Iran,Mar 25,27017,9625,2077,29,"27,017","Mar 25: 27,017 cumulative cases"
US,Mar 25,65778,361,942,23,"65,778","Mar 25: 65,778 cumulative cases"
France,Mar 26,29551,4955,1698,27,"29,551","Mar 26: 29,551 cumulative cases"
Germany,Mar 26,43938,5673,267,26,"43,938","Mar 26: 43,938 cumulative cases"
India,Mar 26,727,45,20,13,727,Mar 26: 727 cumulative cases
Iran,Mar 26,29406,10457,2234,30,"29,406","Mar 26: 29,406 cumulative cases"
US,Mar 26,83836,681,1209,24,"83,836","Mar 26: 83,836 cumulative cases"
France,Mar 27,33402,5707,1997,28,"33,402","Mar 27: 33,402 cumulative cases"
Germany,Mar 27,50871,6658,342,27,"50,871","Mar 27: 50,871 cumulative cases"
India,Mar 27,887,73,20,14,887,Mar 27: 887 cumulative cases
US,Mar 27,101657,869,1581,25,"101,657","Mar 27: 101,657 cumulative cases"
France,Mar 28,38105,5724,2317,29,"38,105","Mar 28: 38,105 cumulative cases"
Germany,Mar 28,57695,8481,433,28,"57,695","Mar 28: 57,695 cumulative cases"
India,Mar 28,987,84,24,15,987,Mar 28: 987 cumulative cases
US,Mar 28,121478,1072,2026,26,"121,478","Mar 28: 121,478 cumulative cases"
France,Mar 29,40708,7226,2611,30,"40,708","Mar 29: 40,708 cumulative cases"
Germany,Mar 29,62095,9211,533,29,"62,095","Mar 29: 62,095 cumulative cases"
India,Mar 29,1024,95,27,16,"1,024","Mar 29: 1,024 cumulative cases"
US,Mar 29,140886,2665,2467,27,"140,886","Mar 29: 140,886 cumulative cases"
Germany,Mar 30,66885,13500,645,30,"66,885","Mar 30: 66,885 cumulative cases"
India,Mar 30,1251,102,32,17,"1,251","Mar 30: 1,251 cumulative cases"
US,Mar 30,161807,5644,2978,28,"161,807","Mar 30: 161,807 cumulative cases"
India,Mar 31,1397,123,35,18,"1,397","Mar 31: 1,397 cumulative cases"
US,Mar 31,188172,7024,3873,29,"188,172","Mar 31: 188,172 cumulative cases"
India,Apr  1,1998,148,58,19,"1,998","Apr  1: 1,998 cumulative cases"
US,Apr  1,213372,8474,4757,30,"213,372","Apr  1: 213,372 cumulative cases"
India,Apr  2,2543,191,72,20,"2,543","Apr  2: 2,543 cumulative cases"
India,Apr  3,2567,192,72,21,"2,567","Apr  3: 2,567 cumulative cases"
India,Apr  4,3082,229,86,22,"3,082","Apr  4: 3,082 cumulative cases"
India,Apr  5,3588,229,99,23,"3,588","Apr  5: 3,588 cumulative cases"
India,Apr  6,4778,375,136,24,"4,778","Apr  6: 4,778 cumulative cases"
