Dates	variable	value	upper_ci	color	type	State
2020-06-24	mod_5	54269	393741	Normal (pre-intervention)	solid	ap
2020-06-24	mod_6	3687	24549	Cautious return	solid	ap
2020-06-25	mod_2	12581	87376	Soc. Dist. + Travel Ban	solid	ap
2020-06-25	mod_3	121975	984781	No Intervention	solid	ap
2020-06-25	mod_4	8781	62109	Moderate return	solid	ap
2020-06-25	mod_5	62729	458675	Normal (pre-intervention)	solid	ap
2020-06-25	mod_6	3805	25490	Cautious return	solid	ap
2020-06-26	mod_2	13669	95394	Soc. Dist. + Travel Ban	solid	ap
2020-06-26	mod_3	138928	1150594	No Intervention	solid	ap
2020-06-26	mod_4	9498	67236	Moderate return	solid	ap
2020-06-26	mod_5	72298	536731	Normal (pre-intervention)	solid	ap
2020-06-26	mod_6	3930	26550	Cautious return	solid	ap
2020-06-27	mod_2	14865	103261	Soc. Dist. + Travel Ban	solid	ap
2020-06-27	mod_3	157640	1341139	No Intervention	solid	ap
2020-06-27	mod_4	10286	73287	Moderate return	solid	ap
2020-06-27	mod_5	83051	625858	Normal (pre-intervention)	solid	ap
2020-06-27	mod_6	4064	27687	Cautious return	solid	ap
2020-06-28	mod_2	16177	112316	Soc. Dist. + Travel Ban	solid	ap
2020-06-28	mod_3	178166	1560228	No Intervention	solid	ap
2020-06-28	mod_4	11155	79269	Moderate return	solid	ap
2020-06-28	mod_5	95088	732207	Normal (pre-intervention)	solid	ap
2020-06-28	mod_6	4203	28761	Cautious return	solid	ap
2020-06-29	mod_2	17622	121593	Soc. Dist. + Travel Ban	solid	ap
2020-06-29	mod_3	200567	1811978	No Intervention	solid	ap
2020-06-29	mod_4	12117	85800	Moderate return	solid	ap
2020-06-29	mod_5	108480	855058	Normal (pre-intervention)	solid	ap
2020-06-29	mod_6	4351	30140	Cautious return	solid	ap
2020-06-30	mod_2	19208	132832	Soc. Dist. + Travel Ban	solid	ap
2020-06-30	mod_3	224880	2097811	No Intervention	solid	ap
2020-06-30	mod_4	13175	93023	Moderate return	solid	ap
2020-06-30	mod_5	123287	993719	Normal (pre-intervention)	solid	ap
2020-06-30	mod_6	4507	31393	Cautious return	solid	ap
2020-07-01	mod_2	20951	144309	Soc. Dist. + Travel Ban	solid	ap
2020-07-01	mod_3	251125	2425156	No Intervention	solid	ap
2020-07-01	mod_4	14341	100685	Moderate return	solid	ap
2020-07-01	mod_5	139567	1154293	Normal (pre-intervention)	solid	ap
2020-07-01	mod_6	4671	32600	Cautious return	solid	ap
2020-07-02	mod_2	22859	157067	Soc. Dist. + Travel Ban	solid	ap
2020-07-02	mod_3	279366	2787219	No Intervention	solid	ap
2020-07-02	mod_4	15620	109183	Moderate return	solid	ap
2020-07-02	mod_5	157362	1339635	Normal (pre-intervention)	solid	ap
2020-07-02	mod_6	4846	33839	Cautious return	solid	ap
2020-07-03	mod_2	24939	172037	Soc. Dist. + Travel Ban	solid	ap
2020-07-03	mod_3	309585	3192425	No Intervention	solid	ap
2020-07-03	mod_4	17027	118535	Moderate return	solid	ap
2020-07-03	mod_5	176699	1554997	Normal (pre-intervention)	solid	ap
2020-07-03	mod_6	5025	35134	Cautious return	solid	ap
2020-07-04	mod_2	27213	186463	Soc. Dist. + Travel Ban	solid	ap
2020-07-04	mod_3	341781	3644375	No Intervention	solid	ap
2020-07-04	mod_4	18565	128862	Moderate return	solid	ap
2020-07-04	mod_5	197625	1802489	Normal (pre-intervention)	solid	ap
2020-07-04	mod_6	5221	36741	Cautious return	solid	ap
2020-07-05	mod_2	29682	203600	Soc. Dist. + Travel Ban	solid	ap
2020-07-05	mod_3	375918	4117461	No Intervention	solid	ap
