state,place,date,confirmed,tested,daily_confirmed,daily_tested,tpr,text
Delhi,dl,2020-04-12,1154,14036,85,2327,0.0365277180919639,Date: Apr 12<br>TPR:    3.65%
Goa,ga,2020-04-12,7,406,0,52,0,Date: Apr 12<br>TPR:    0.00%
Gujarat,gj,2020-04-12,516,11715,48,1952,0.0245901639344262,Date: Apr 12<br>TPR:    2.46%
Himachal Pradesh,hp,2020-04-12,32,1113,0,213,0,Date: Apr 12<br>TPR:    0.00%
Haryana,hr,2020-04-12,195,3903,16,240,0.0666666666666667,Date: Apr 12<br>TPR:    6.67%
Jharkhand,jh,2020-04-12,19,1683,2,137,0.0145985401459854,Date: Apr 12<br>TPR:    1.46%
Jammu and Kashmir,jk,2020-04-12,245,3600,21,394,0.0532994923857868,Date: Apr 12<br>TPR:    5.33%
Karnataka,ka,2020-04-12,232,9251,17,691,0.0246020260492041,Date: Apr 12<br>TPR:    2.46%
Kerala,kl,2020-04-12,376,14989,2,826,0.00242130750605327,Date: Apr 12<br>TPR:    0.24%
Maharashtra,mh,2020-04-12,1982,35668,221,3827,0.0577475829631565,Date: Apr 12<br>TPR:    5.77%
Madhya Pradesh,mp,2020-04-12,562,10481,33,1965,0.016793893129771,Date: Apr 12<br>TPR:    1.68%
Mizoram,mz,2020-04-12,1,87,0,3,0,Date: Apr 12<br>TPR:    0.00%
Odisha,or,2020-04-12,54,3862,0,311,0,Date: Apr 12<br>TPR:    0.00%
Punjab,pb,2020-04-12,170,4281,12,372,0.032258064516129,Date: Apr 12<br>TPR:    3.23%
Rajasthan,rj,2020-04-12,804,28505,104,3648,0.0285087719298246,Date: Apr 12<br>TPR:    2.85%
Tamil Nadu,tn,2020-04-12,1075,10655,106,813,0.130381303813038,Date: Apr 12<br>TPR:   13.04%
India,tt,2020-04-12,9211,195748,758,16374,0.0462929033834127,Date: Apr 12<br>TPR:    4.63%
Uttar Pradesh,up,2020-04-12,483,11855,31,1260,0.0246031746031746,Date: Apr 12<br>TPR:    2.46%
Uttarakhand,ut,2020-04-12,35,1820,0,115,0,Date: Apr 12<br>TPR:    0.00%
West Bengal,wb,2020-04-12,134,2523,8,237,0.0337552742616034,Date: Apr 12<br>TPR:    3.38%
Andhra Pradesh,ap,2020-04-13,439,8755,19,1797,0.0105731775180857,Date: Apr 13<br>TPR:    1.06%
Bihar,br,2020-04-13,66,7263,2,560,0.00357142857142857,Date: Apr 13<br>TPR:    0.36%
Chandigarh,ch,2020-04-13,21,296,0,17,0,Date: Apr 13<br>TPR:    0.00%
Chhattisgarh,ct,2020-04-13,31,4377,0,432,0,Date: Apr 13<br>TPR:    0.00%
Delhi,dl,2020-04-13,1510,15032,356,996,0.357429718875502,Date: Apr 13<br>TPR:   35.74%
Goa,ga,2020-04-13,7,440,0,34,0,Date: Apr 13<br>TPR:    0.00%
Gujarat,gj,2020-04-13,572,14251,56,2536,0.0220820189274448,Date: Apr 13<br>TPR:    2.21%
