Dates	variable	value	color
2020-05-16	mod_4_up	330273	blue
2020-05-17	mod_3	1818922	red
2020-05-17	mod_2	520242	green
2020-05-17	mod_4	67350	blue
2020-05-17	mod_4_up	368733	blue
2020-05-18	mod_3	1884327	red
2020-05-18	mod_2	547967	green
2020-05-18	mod_4	74381	blue
2020-05-18	mod_4_up	411809	blue
2020-05-19	mod_3	1948981	red
2020-05-19	mod_2	576024	green
2020-05-19	mod_4	82341	blue
2020-05-19	mod_4_up	465582	blue
2020-05-20	mod_3	2012828	red
2020-05-20	mod_2	604313	green
2020-05-20	mod_4	91319	blue
2020-05-20	mod_4_up	531293	blue
2020-05-21	mod_3	2075863	red
2020-05-21	mod_2	632857	green
2020-05-21	mod_4	101176	blue
2020-05-21	mod_4_up	607514	blue
2020-05-22	mod_3	2138025	red
2020-05-22	mod_2	661583	green
2020-05-22	mod_4	111925	blue
2020-05-22	mod_4_up	700685	blue
2020-05-23	mod_3	2199238	red
2020-05-23	mod_2	690487	green
2020-05-23	mod_4	123593	blue
2020-05-23	mod_4_up	807125	blue
2020-05-24	mod_3	2259508	red
2020-05-24	mod_2	719528	green
2020-05-24	mod_4	136157	blue
2020-05-24	mod_4_up	931845	blue
2020-05-25	mod_3	2318846	red
2020-05-25	mod_2	748655	green
2020-05-25	mod_4	149620	blue
2020-05-25	mod_4_up	1079577	blue
2020-05-26	mod_3	2377195	red
2020-05-26	mod_2	777855	green
2020-05-26	mod_4	163957	blue
2020-05-26	mod_4_up	1244227	blue
2020-05-27	mod_3	2434581	red
2020-05-27	mod_2	807121	green
2020-05-27	mod_4	179155	blue
2020-05-27	mod_4_up	1445257	blue
2020-05-28	mod_3	2490959	red
2020-05-28	mod_2	836389	green
2020-05-28	mod_4	195133	blue
2020-05-28	mod_4_up	1658911	blue
2020-05-29	mod_3	2546349	red
2020-05-29	mod_2	865663	green
2020-05-29	mod_4	211907	blue
2020-05-29	mod_4_up	1902645	blue
2020-05-30	mod_3	2600769	red
2020-05-30	mod_2	894912	green
2020-05-30	mod_4	229399	blue
2020-05-30	mod_4_up	2182352	blue
2020-05-31	mod_3	2654168	red
2020-05-31	mod_2	924122	green
2020-05-31	mod_4	247601	blue
2020-05-31	mod_4_up	2476077	blue
2020-06-01	mod_3	2706654	red
2020-06-01	mod_2	953285	green
2020-06-01	mod_4	266436	blue
2020-06-01	mod_4_up	2801390	blue
2020-06-02	mod_3	2758121	red
2020-06-02	mod_2	982343	green
2020-06-02	mod_4	285902	blue
2020-06-02	mod_4_up	3146760	blue
2020-06-03	mod_3	2808635	red
2020-06-03	mod_2	1011291	green
2020-06-03	mod_4	305914	blue
2020-06-03	mod_4_up	3509971	blue
2020-06-04	mod_3	2858201	red
2020-06-04	mod_2	1040087	green
2020-06-04	mod_4	326451	blue
2020-06-04	mod_4_up	3880963	blue
2020-06-05	mod_3	2906825	red
2020-06-05	mod_2	1068746	green
2020-06-05	mod_4	347477	blue
2020-06-05	mod_4_up	4275067	blue
2020-06-06	mod_3	2954506	red
2020-06-06	mod_2	1097217	green
2020-06-06	mod_4	368941	blue
2020-06-06	mod_4_up	4688446	blue
2020-06-07	mod_3	3001212	red
2020-06-07	mod_2	1125518	green
2020-06-07	mod_4	390801	blue
2020-06-07	mod_4_up	5146576	blue
2020-06-08	mod_3	3047018	red
2020-06-08	mod_2	1153610	green
2020-06-08	mod_4	413006	blue
2020-06-08	mod_4_up	5612923	blue
2020-06-09	mod_3	3091920	red
2020-06-09	mod_2	1181472	green
2020-06-09	mod_4	435562	blue
2020-06-09	mod_4_up	6098853	blue
2020-06-10	mod_3	3135896	red
2020-06-10	mod_2	1209118	green
2020-06-10	mod_4	458355	blue
2020-06-10	mod_4_up	6606508	blue
2020-06-11	mod_3	3178924	red
2020-06-11	mod_2	1236545	green
2020-06-11	mod_4	481370	blue
2020-06-11	mod_4_up	7133625	blue
2020-06-12	mod_3	3221124	red
2020-06-12	mod_2	1263763	green
2020-06-12	mod_4	504604	blue
2020-06-12	mod_4_up	7616169	blue
2020-06-13	mod_3	3262433	red
2020-06-13	mod_2	1290723	green
2020-06-13	mod_4	527981	blue
2020-06-13	mod_4_up	8162407	blue
2020-06-14	mod_3	3302879	red
2020-06-14	mod_2	1317405	green
2020-06-14	mod_4	551422	blue
2020-06-14	mod_4_up	8676989	blue
2020-06-15	mod_3	3342527	red
2020-06-15	mod_2	1343819	green
2020-06-15	mod_4	575008	blue
2020-06-15	mod_4_up	9177967	blue
2020-06-16	mod_3	3381316	red
2020-06-16	mod_2	1369931	green
2020-06-16	mod_4	598647	blue
2020-06-16	mod_4_up	9666987	blue
2020-06-17	mod_3	3419274	red
2020-06-17	mod_2	1395763	green
2020-06-17	mod_4	622290	blue
2020-06-17	mod_4_up	10149147	blue
2020-06-18	mod_3	3456439	red
2020-06-18	mod_2	1421313	green
2020-06-18	mod_4	645907	blue
2020-06-18	mod_4_up	10611516	blue
2020-06-19	mod_3	3492836	red
2020-06-19	mod_2	1446579	green
2020-06-19	mod_4	669493	blue
2020-06-19	mod_4_up	11076315	blue
2020-06-20	mod_3	3528424	red
2020-06-20	mod_2	1471539	green
2020-06-20	mod_4	693014	blue
2020-06-20	mod_4_up	11448607	blue
2020-06-21	mod_3	3563268	red
2020-06-21	mod_2	1496241	green
2020-06-21	mod_4	716471	blue
2020-06-21	mod_4_up	11855523	blue
2020-06-22	mod_3	3597386	red
2020-06-22	mod_2	1520615	green
2020-06-22	mod_4	739824	blue
2020-06-22	mod_4_up	12230677	blue
2020-06-23	mod_3	3630715	red
2020-06-23	mod_2	1544687	green
2020-06-23	mod_4	763078	blue
2020-06-23	mod_4_up	12565963	blue
2020-06-24	mod_3	3663355	red
2020-06-24	mod_2	1568452	green
2020-06-24	mod_4	786181	blue
2020-06-24	mod_4_up	12904728	blue
2020-06-25	mod_3	3695298	red
2020-06-25	mod_2	1591899	green
2020-06-25	mod_4	809113	blue
2020-06-25	mod_4_up	13195535	blue
2020-06-26	mod_3	3726574	red
2020-06-26	mod_2	1615018	green
2020-06-26	mod_4	831900	blue
2020-06-26	mod_4_up	13458218	blue
2020-06-27	mod_3	3757162	red
2020-06-27	mod_2	1637850	green
2020-06-27	mod_4	854553	blue
2020-06-27	mod_4_up	13730035	blue
2020-06-28	mod_3	3787140	red
2020-06-28	mod_2	1660372	green
2020-06-28	mod_4	877009	blue
2020-06-28	mod_4_up	13943267	blue
2020-06-29	mod_3	3816448	red
2020-06-29	mod_2	1682595	green
2020-06-29	mod_4	899274	blue
2020-06-29	mod_4_up	14124474	blue
2020-06-30	mod_3	3845141	red
2020-06-30	mod_2	1704505	green
