Name,Date,State,Type,Count,date.fmt,count.fmt,text
Tripura,2020-07-24,tr,New Cases,100,Jul 24,100,Jul 24: 100 New Cases
Tripura,2020-07-25,tr,New Cases,105,Jul 25,105,Jul 25: 105 New Cases
Tripura,2020-07-26,tr,New Cases,37,Jul 26,37,Jul 26: 37 New Cases
Tripura,2020-07-27,tr,New Cases,147,Jul 27,147,Jul 27: 147 New Cases
Tripura,2020-07-28,tr,New Cases,221,Jul 28,221,Jul 28: 221 New Cases
Tripura,2020-07-29,tr,New Cases,216,Jul 29,216,Jul 29: 216 New Cases
Tripura,2020-07-30,tr,New Cases,219,Jul 30,219,Jul 30: 219 New Cases
Tripura,2020-07-31,tr,New Cases,274,Jul 31,274,Jul 31: 274 New Cases
Tripura,2020-08-01,tr,New Cases,252,Aug  1,252,Aug  1: 252 New Cases
Tripura,2020-08-02,tr,New Cases,141,Aug  2,141,Aug  2: 141 New Cases
Tripura,2020-08-03,tr,New Cases,0,Aug  3,0,Aug  3: 0 New Cases
Tripura,2020-08-04,tr,New Cases,131,Aug  4,131,Aug  4: 131 New Cases
Tripura,2020-08-05,tr,New Cases,122,Aug  5,122,Aug  5: 122 New Cases
Tripura,2020-08-06,tr,New Cases,98,Aug  6,98,Aug  6: 98 New Cases
Tripura,2020-08-07,tr,New Cases,128,Aug  7,128,Aug  7: 128 New Cases
Tripura,2020-08-08,tr,New Cases,146,Aug  8,146,Aug  8: 146 New Cases
Tripura,2020-08-09,tr,New Cases,147,Aug  9,147,Aug  9: 147 New Cases
Tripura,2020-08-10,tr,New Cases,62,Aug 10,62,Aug 10: 62 New Cases
Tripura,2020-08-11,tr,New Cases,164,Aug 11,164,Aug 11: 164 New Cases
Tripura,2020-08-12,tr,New Cases,110,Aug 12,110,Aug 12: 110 New Cases
Tripura,2020-08-13,tr,New Cases,121,Aug 13,121,Aug 13: 121 New Cases
Tripura,2020-08-14,tr,New Cases,164,Aug 14,164,Aug 14: 164 New Cases
Tripura,2020-08-15,tr,New Cases,167,Aug 15,167,Aug 15: 167 New Cases
Tripura,2020-08-16,tr,New Cases,127,Aug 16,127,Aug 16: 127 New Cases
Tripura,2020-08-17,tr,New Cases,143,Aug 17,143,Aug 17: 143 New Cases
Tripura,2020-08-18,tr,New Cases,205,Aug 18,205,Aug 18: 205 New Cases
Tripura,2020-08-19,tr,New Cases,236,Aug 19,236,Aug 19: 236 New Cases
Tripura,2020-08-20,tr,New Cases,190,Aug 20,190,Aug 20: 190 New Cases
Tripura,2020-08-21,tr,New Cases,256,Aug 21,256,Aug 21: 256 New Cases
Tripura,2020-08-22,tr,New Cases,280,Aug 22,280,Aug 22: 280 New Cases
Tripura,2020-08-23,tr,New Cases,331,Aug 23,331,Aug 23: 331 New Cases
Tripura,2020-08-24,tr,New Cases,200,Aug 24,200,Aug 24: 200 New Cases
